name,price,description,imageUrl
Notebook Dell Inspiron,3499.99,Notebook com Intel Core i5 16GB RAM 512GB SSD,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Mouse Gamer RGB,149.90,Mouse gamer com iluminação RGB e 7 botões programáveis,https://images.unsplash.com/photo-1527814050087-3793815479db
Teclado Mecânico,299.99,Teclado mecânico com switches blue retroiluminado,https://images.unsplash.com/photo-1587829741301-dc798b83add3
Monitor 27 polegadas,899.00,Monitor Full HD 27 polegadas IPS 75Hz,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf
Headset Gamer,199.90,Headset gamer com som surround 7.1 e microfone retrátil,https://images.unsplash.com/photo-1484704849700-f032a568e944
Webcam Full HD,249.99,Webcam 1080p com microfone integrado ideal para streaming,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Mousepad Extended,79.90,Mousepad gamer tamanho estendido antiderrapante,https://images.unsplash.com/photo-1625225233840-695456021cde
SSD 1TB NVMe,449.00,SSD M.2 NVMe 1TB leitura 3500MB/s,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b
Cadeira Gamer,899.99,Cadeira gamer ergonômica com apoio lombar ajustável,https://images.unsplash.com/photo-1598550487518-dfe6650655f7
Suporte para Notebook,89.90,Suporte ajustável para notebook com ventilação,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
